"","title","company","location","rating","province","pay","job"
"1","newData Analyst - Geophysics","Sander Geophysics Limited","Ottawa, ON",3.8,"ON",NA,"Geologist"
"2","newCore Logging Geologist (Remote Camp)","Workforce Inc.","remote",4.6,"remote",68450,"Geologist"
"3","mine geologist","SLR Consulting (Canada) Ltd.","Toronto, ON",3.7,"ON",132500,"Geologist"
"4","newProject Geologist","Fladgate Exploration Consulting Corporation","Thunder Bay, ON",NA,"ON",NA,"Geologist"
"5","Geological Technician/Jr Geologist","Healthcare Systems R & A Inc.","Montréal, QC",NA,"QC",54575,"Geologist"
"6","Mining Geologist","SLR Consulting","Toronto, ON",3.9,"ON",NA,"Geologist"
"7","Exploration Geologist","Fox Exploration","Dawson City, YT",NA,"YT",NA,"Geologist"
"8","Exploration Geologist","Alamos Gold Inc.","Matachewan, ON",3.7,"ON",NA,"Geologist"
"9","newGeologist Assistant","Chu Cho Industries","Prince George, BC",NA,"BC",NA,"Geologist"
"10","Mine Geologist","De Beers Group of Companies","Northwest Territories",4.2,"ES",NA,"Geologist"
"11","Machine Learning Geoscientist","DATACLOUD","remote",NA,"remote",NA,"Geologist"
"12","newGIS Geologist","Fladgate Exploration Consulting Corporation","Thunder Bay, ON",NA,"ON",NA,"Geologist"
"13","Junior Engineer or Geoscientist","Okane","Calgary, AB+2 locations",NA,"NS",NA,"Geologist"
"14","Geologist","Fladgate Exploration Consulting Company","Thunder Bay, ON",NA,"ON",NA,"Geologist"
"15","Geology/Reservoir Summer Student","Long Run Exploration Ltd.","Calgary, AB",NA,"AB",46250,"Geologist"
"16","Mine Exploration Geologist","Silver Lake Resources","White River, ON",NA,"ON",NA,"Geologist"
"17","GIS Geologist","Serac Exploration","Stewart, BC",NA,"BC",NA,"Geologist"
"18","newDrillers, Helpers, and Drillers in Training","ConeTec","Richmond Hill, ON",3.8,"ON",NA,"Geologist"
"19","Production Geologist/Geotechnologist","North American Palladium","Thunder Bay, ON",2.2,"ON",NA,"Geologist"
"20","newIntermediate Resource Geologist","IAMGOLD","Mesomikenda Lake, ON",4.2,"ON",NA,"Geologist"
"21","Environmental Engineer, Scientist or Geologist","Langan Engineering and Environmental Services,...","Calgary, AB",NA,"AB",NA,"Geologist"
"22","Exploration Geology","Newmont Mining","Timmins, ON",4,"ON",NA,"Geologist"
"23","newProduction Geologist","Workforce Inc.","Timmins, ON",4.6,"ON",70300,"Geologist"
"24","Hydrogeologist","Paterson Group Inc.","Nepean, ON",NA,"ON",22200,"Geologist"
"25","Geology Technician","Alamos Gold Inc.","Dubreuilville, ON",3.7,"ON",NA,"Geologist"
"26","Project Geologist","North American Palladium","Thunder Bay, ON",2.2,"ON",NA,"Geologist"
"27","Junior Engineer or Geoscientist","Okane Consultants","Calgary, AB+2 locations",NA,"NS",NA,"Geologist"
"28","Project Geologist","Stantec","Canada+1 location",3.7,"ON",NA,"Geologist"
"29","Junior Hydrogeologist/Environmental Engineer","GHD","Waterloo, ON",3.6,"ON",NA,"Geologist"
"30","Field Assistant Geology Students","Alamos Gold Inc.","Dubreuilville, ON",3.7,"ON",NA,"Geologist"
"31","Hydrographer - Marine","Fugro","Dartmouth, NS",3.9,"NS",NA,"Geologist"
"32","GEOLOGIST, Exploration","Argonaut Gold","Dubreuilville, ON",NA,"ON",NA,"Geologist"
"33","Hydrogeology - Field Position","RJ Burnside","remote",3,"remote",NA,"Geologist"
"34","newXRD Data Mineralogist","ALS Global","remote",3,"remote",NA,"Geologist"
"35","newEnvironmental Engineer / Geoscientist – Intermediate","BluMetric","Toronto, ON",NA,"ON",NA,"Geologist"
"36","Mine Engineer/Geologist Co-op","CGC Manufacturing Gypsum","Little Narrows, NS",NA,"NS",NA,"Geologist"
"37","newSenior Resource Geologist","Tetra Tech","Vancouver, BC",3.7,"BC",NA,"Geologist"
"38","Core Logging Geologist","Kinross Gold Corporation","Red Lake, ON",3.8,"ON",NA,"Geologist"
"39","Project Geologist","Aurora Geosciences","Northwest Territories",NA,"ES",NA,"Geologist"
"40","Junior Geologist/Hydrogeologist","GHD","Mississauga, ON",3.6,"ON",NA,"Geologist"
"41","newSenior Geologist","Fladgate Exploration Consulting Corporation","Thunder Bay, ON",NA,"ON",NA,"Geologist"
"42","newEnvironmental Engineer / Geoscientist - Intermediate","BluMetric Environmental Inc.","Greater Toronto Area, ON+1 location",NA,"ON",NA,"Geologist"
"43","Project Geologist","Alamos Gold Inc.","Matachewan, ON",3.7,"ON",NA,"Geologist"
"44","Mine Geologist","Baffinland Iron Mines","Mary River, NU",2.9,"NU",NA,"Geologist"
"45","Fluvial Geomorphologist","Palmer Environmental","remote",NA,"remote",NA,"Geologist"
"46","newResource Geologist","Workforce Inc.","Timmins, ON",4.6,"ON",69375,"Geologist"
"47","Senior Geologist","SLR Consulting","Toronto, ON",3.9,"ON",NA,"Geologist"
"48","Intermediate Hydrogeologist","BluMetric","Kingston, ON+1 location",NA,"ON",NA,"Geologist"
"49","Environment Engineer/Hydrogeologist","SNC-Lavalin","North York, ON",4,"ON",NA,"Geologist"
"50","newDrillers, Helpers and Drillers in Training","ConeTec","Surrey, BC",3.8,"BC",NA,"Geologist"
"51","Mineralogist","SGS","Lakefield, ON",3.6,"ON",NA,"Geologist"
"52","Hydrogeology - Field Position","R.J. BURNSIDE & ASSOCIATES LIMITED","remote",3,"remote",NA,"Geologist"
"53","Plant Metallurgist - 12 month temporary role","Newcrest Mining","Stikine, BC",3.8,"BC",NA,"Geologist"
"54","Intermediate Hydrogeologist","Dillon Consulting Limited","remote",3.7,"remote",NA,"Geologist"
"55","Hydrologist","Stantec","Waterloo, ON+1 location",3.7,"ON",NA,"Geologist"
"56","Professional Geoscientist - Contaminant Hydrogeology","RJ Burnside","remote",3,"remote",NA,"Geologist"
"57","Mine Geologist","Myra Falls Mine Ltd.","Campbell River, BC",3.2,"BC",NA,"Geologist"
"58","Environmental Engineer/Hydrogeologist","SNC-Lavalin","Toronto, ON",4,"ON",NA,"Geologist"
"59","Geoscientist / Environmental Engineer (Hybrid)","IBI Group","Markham, ON+1 location",3.4,"ON",NA,"Geologist"
"60","Intermediate Environmental Engineer/Geoscientist","Terraprobe Inc.","Brampton, ON",NA,"ON",NA,"Geologist"
"61","Mine Geologist - Data Management","Barrick Gold Corporation","Hemlo, ON",4,"ON",NA,"Geologist"
"62","Intermediate Environmental Engineer or Scientist","Tetra Tech","Whitehorse, YT",3.7,"YT",NA,"Geologist"
"63","Senior Exploration Geologist","Alamos Gold Inc.","Dubreuilville, ON",3.7,"ON",NA,"Geologist"
"64","Intermediate to Senior Hydrogeologist","Thurber Engineering Ltd.","Oakville, ON",3.9,"ON",NA,"Geologist"
"65","Greenstone Mine - Mine Geologist","Greenstone Gold Mines","Geraldton, ON",NA,"ON",NA,"Geologist"
"66","Production Geologist","Pure Gold Mining","Red Lake, ON",1.8,"ON",NA,"Geologist"
"67","Mine Geologist","Beaver Brook Antimony Mine (BBAM)","Glenwood, NL",NA,"NL",NA,"Geologist"
"68","Director of Mining","Healthcare Systems R & A Inc.","Montréal, QC",NA,"QC",109021.5,"Geologist"
"69","JUNIOR HYDROGEOLOGIST OR GEOSCIENTIST","WSP","Ottawa, ON",3.8,"ON",NA,"Geologist"
"70","Core Logging Geologist","Alamos Gold Inc.","Matachewan, ON",3.7,"ON",NA,"Geologist"
