,title,company,location,pay,rating
0,newJunior Data Analyst,AppleOne,"Mississauga, ON","$45,800 a year",3.8
1,Data Analyst (Remote in Canada),Interaxon,"Remote in Toronto, ON","$80,000 - $110,000 a year",
2,"newData Analyst (VBA,SQL)",Sun Life Financial,"Temporarily Remote in Toronto, ON",,3.9
3,Data Analyst/ Data Engineer/ Datawarehouse Analyst,Shorewise Consulting LLC,"Remote in Mississauga, ON",$47 an hour,
4,Data Analyst - Level 3,Libro Credit Union,"London, ON",,3.7
5,Junior Data Analyst,Delvinia,"Toronto, ON","$45,000 a year",
6,newData Analyst,Manulife,"Toronto, ON",,4.0
7,newInventory Control Analyst,Lululemon,Remote,,4.2
8,newData Analyst Specialist for compiling TV Attribution Reports...,Achev,"Remote in Toronto, ON","$45,000 - $50,000 a year",
9,newLead Data Analyst,E Inc.,"Toronto, ON",,2.5
10,newData Analyst - Sportsbook,Score Media and Gaming Inc.,"Remote in Toronto, ON",,
11,newData Analyst,Mobileum Inc.,"Toronto, ON",$50 - $60 an hour,
12,Health Data Analyst - Full Time,Region of Waterloo,"Waterloo, ON",,3.4
13,newTechnology & Innovation Research Analyst (Summer Student,Islamic Relief Canada,Remote,,4.0
14,newIT Business Analyst - Capital Markets,Samiti Technology,"Toronto, ON",$80 - $100 an hour,
15,newIT Business Analyst - Capital Markets,Samiti Technology,"Toronto, ON",$80 - $100 an hour,
16,newHealth Data Analyst,Chatham-Kent,"Chatham-Kent, ON",,4.5
17,newBudget Analyst - Permanent Position,York Catholic District School Board,Ontario,"$69,834 - $88,679 a year",4.5
18,newBusiness Intelligence & Data Analyst,Nature's Emporium,"Woodbridge, ON","$75,000 - $85,000 a year",
19,newIncentives Analyst,J.D. Power,"Remote in London, ON",$17 an hour,
20,Data Analyst/ Data Engineer/ Datawarehouse Analyst,Shorewise Consulting LLC,"Remote in Mississauga, ON",$47 an hour,
21,newData Analyst – Subscription Analytics,Torstar,"Toronto, ON",,3.7
22,newData Analyst,Canadian Tire Corporation,"Toronto, ON+1 location",,3.6
23,newAutomations Analyst,BMO Financial Group,Ontario,,3.8
24,newLogistics Data Analyst Fall Co-op,Johnson & Johnson,"Markham, ON",,4.2
25,Business Analyst (Technical & Data),Alimentiv,"London, ON",,
26,newResearch Analyst,Ipsos North America,"Toronto, ON",,3.9
27,Business Data Analyst,Carfax,"London, ON",,
28,newISO 20022 Analyst,Payments Canada,"Toronto, ON+1 location","$71,000 - $95,000 a year",4.1
29,Marketing Data Analyst,TrackDDB,"Remote in Toronto, ON",,
