,title,company,location,pay,rating,job
0,newData Analyst - Geophysics,Sander Geophysics Limited,"Ottawa, ON",,3.8,Geologist
1,newCore Logging Geologist (Remote Camp),Workforce Inc.,"Timmins, ON",$34–$40 an hour,4.6,Geologist
2,mine geologist,SLR Consulting (Canada) Ltd.,"Toronto, ON","$120,000–$145,000 a year",3.7,Geologist
3,newProject Geologist,Fladgate Exploration Consulting Corporation,"Thunder Bay, ON",,,Geologist
4,Geological Technician/Jr Geologist,Healthcare Systems R & A Inc.,"Montréal, QC",$24–$35 an hour,,Geologist
5,Mining Geologist,SLR Consulting,"Toronto, ON",,3.9,Geologist
6,Exploration Geologist,Fox Exploration,"Dawson City, YT",,,Geologist
7,Exploration Geologist,Alamos Gold Inc.,"Matachewan, ON",,3.7,Geologist
8,newGeologist Assistant,Chu Cho Industries,"Prince George, BC",,,Geologist
9,Mine Geologist,De Beers Group of Companies,Northwest Territories,,4.2,Geologist
10,Machine Learning Geoscientist,DATACLOUD,"Remote in Vancouver, BC",,,Geologist
11,newGIS Geologist,Fladgate Exploration Consulting Corporation,"Thunder Bay, ON",,,Geologist
12,Junior Engineer or Geoscientist,Okane,"Calgary, AB+2 locations",,,Geologist
13,Geologist,Fladgate Exploration Consulting Company,"Thunder Bay, ON",,,Geologist
14,Geology/Reservoir Summer Student,Long Run Exploration Ltd.,"Calgary, AB",From $25 an hour,,Geologist
15,Mine Exploration Geologist,Silver Lake Resources,"White River, ON",,,Geologist
16,GIS Geologist,Serac Exploration,"Stewart, BC",,,Geologist
17,"newDrillers, Helpers, and Drillers in Training",ConeTec,"Richmond Hill, ON",,3.8,Geologist
18,Production Geologist/Geotechnologist,North American Palladium,"Thunder Bay, ON",,2.2,Geologist
19,newIntermediate Resource Geologist,IAMGOLD,"Mesomikenda Lake, ON",,4.2,Geologist
20,"Environmental Engineer, Scientist or Geologist","Langan Engineering and Environmental Services,...","Calgary, AB",,,Geologist
21,Exploration Geology,Newmont Mining,"Timmins, ON",,4.0,Geologist
22,newProduction Geologist,Workforce Inc.,"Timmins, ON",$36–$40 an hour,4.6,Geologist
23,Hydrogeologist,Paterson Group Inc.,"Nepean, ON",$24.00–$26.50 an hour,,Geologist
24,Geology Technician,Alamos Gold Inc.,"Dubreuilville, ON",,3.7,Geologist
25,newCore Logging Geologist (Remote Camp),Workforce Inc.,"Timmins, ON",$34–$40 an hour,4.6,Geologist
26,Project Geologist,North American Palladium,"Thunder Bay, ON",,2.2,Geologist
27,Junior Engineer or Geoscientist,Okane Consultants,"Calgary, AB+2 locations",,,Geologist
28,Project Geologist,Stantec,Canada+1 location,,3.7,Geologist
29,Junior Hydrogeologist/Environmental Engineer,GHD,"Waterloo, ON",,3.6,Geologist
30,Field Assistant Geology Students,Alamos Gold Inc.,"Dubreuilville, ON",,3.7,Geologist
